Ticker,Sector,MarketCap,PE_Fwd,Growth,ROE,Margin,D_E,Ebitda_G
SYK,Healthcare,125965385728,19.6002,0.094,0.16508,0.14433,64.391,0.441
TER,Technology,56029401088,31.020433,1.039,0.36465,0.25766,2.883,3.858
LECO,Industrials,15366263808,22.525705,0.12,0.37736,0.12353,77.347,0.125
OII,Energy,4976482304,21.554604,0.1,0.34570998,0.121879995,70.343,0.204
PTC,Technology,16671986688,17.286983,-0.068,0.35053003,0.41429,46.335,-0.12
QCOM,Technology,165464358912,15.443127,-0.04,0.33754003,0.21013,55.21,-0.23
AVAV,Industrials,7687937536,34.345592,1.333,-0.10029,-0.13411,18.971,
TDY,Technology,28810698752,23.268423,0.098,0.09154,0.15292,18.565,0.212
KTOS,Industrials,10147644416,48.429825,0.305,0.011469999,0.020299999,5.65,0.074
NOC,Industrials,78095589376,18.059315,0.051,0.26958,0.104820006,95.348,-0.058
GD,Industrials,103672102912,20.659088,0.081,0.17803,0.08179,35.335,0.134
RTX,Industrials,281465782272,26.583975,0.145,0.12274,0.08276,57.02,0.287
LHX,Industrials,48966995968,19.534256,1.9,,0.103690006,34.574,-0.061
APP,Communication Services,100796743680,14.345051,0.528,2.03686,0.64575994,111.13,0.57
IREN,Financial Services,14731150336,-41.083195,-0.0,0.07729,0.20877,148.804,
AMAT,Technology,383129092096,26.309849,0.248,0.41068,0.30052,28.666,0.428
KLAC,Technology,234721132544,27.203869,0.152,0.87496,0.35574,96.88,0.138
RMBS,Technology,9421973504,23.56986,0.204,0.17789,0.3169,1.487,0.151
SIMO,Technology,8187874816,15.21319,1.27,0.31569,0.2206,6.924,7.338
ARM,Technology,255059427328,78.02434,0.224,0.13352999,0.20247999,5.62,1.083
SNPS,Technology,74554384384,22.552649,0.419,0.03824,0.089090005,35.574,-0.96
CRDO,Technology,41166860288,24.205317,1.57,0.34408,0.35374,1.233,3.432
GLW,Technology,124956950528,33.64441,0.166,0.16813,0.111999996,71.448,0.185
AMKR,Technology,11896640512,17.006598,0.256,0.12514,0.07448,57.054,2.182
PWR,Industrials,92234915840,31.23495,0.411,0.15337,0.04032,67.78,0.947
CCJ,Energy,44609466368,54.132095,-0.072,0.051149998,0.102139995,17.131,-0.921
BWXT,Industrials,13948531712,28.975634,0.18,0.28289,0.10108,151.4,0.141
UUUU,Energy,3730727680,30.773195,4.961,-0.11447,-0.77295995,85.133,
TMQ,Basic Materials,656416128,-41.22146,,-0.40537998,0.0,0.079,
UAMY,Basic Materials,754019328,83.965004,-0.247,-0.14874,-0.44596002,0.201,-0.494
MP,Basic Materials,10206111744,64.757996,1.197,-0.03585,-0.14563,41.402,
FCX,Basic Materials,110372306944,18.64163,-0.073,0.14755,0.113850005,32.149,0.281
TECK,Basic Materials,33905367040,19.124779,0.782,0.08717,0.17854,34.254,3.244
SCCO,Basic Materials,180934393856,30.022612,0.406,0.49897,0.35866,67.863,0.716
IONQ,Technology,17244598272,-35.040707,2.868,-0.60483,0.0,1.632,
RGTI,Technology,5610652160,-81.60194,1.853,-0.43765,0.0,1.433,
COIN,Financial Services,49127755776,64.72215,-0.173,-0.07847,-0.16344,50.982,
SPOT,Communication Services,110027292672,29.600594,0.139,0.44484,0.18434,5.558,
DDOG,Technology,82256904192,77.17107,0.356,0.04696,0.044770002,29.259,14.985
RXRX,Healthcare,1750925056,-3.6491048,-0.601,-0.5658,0.0,7.283,
POET,Technology,1355910016,-46.088234,1.123,-0.16886,0.0,0.92,
RBLX,Communication Services,28224991232,-31.651299,0.359,-4.32275,-0.17607,1423.256,
CRCL,Financial Services,24624189440,56.74349,0.066,0.15347,0.15531999,0.454,
BMNR,Financial Services,14914771968,26.303192,21.678,-1.50905,0.0,0.011,
ACHR,Industrials,4778016256,-7.685733,,-0.44471002,0.0,6.557,
BEAM,Healthcare,2959191552,-6.042557,-0.942,-0.08184,-0.55449003,23.173,
MOH,Healthcare,10412334080,20.47997,-0.057,-0.0016,-0.00016000001,94.773,-0.753
ENB,Energy,108691013632,21.309927,0.971,0.092209995,0.07339,162.975,-0.36
TOST,Technology,21244391424,21.235231,0.231,0.25162,0.07143,,1.0
AMGN,Healthcare,238521434112,18.083344,0.095,0.91473,0.22951001,490.281,0.649
FOX,Communication Services,25716160512,10.666667,0.281,0.14291,0.09839,64.06,0.031
UTHR,Healthcare,21937088512,17.02958,-0.019,0.19315,0.41557,,0.134
GOLD,Financial Services,1343772672,12.763085,2.44,0.10819,0.0034999999,182.406,
JNJ,Healthcare,658649382912,22.206785,0.066,0.25742,0.21482,57.709,-0.009
HD,Consumer Cyclical,335798960128,20.997442,0.057,1.0429599,0.0841,376.524,0.046
ABBV,Healthcare,466250366976,16.204868,0.102,,0.098000005,,2.904
O,Real Estate,59465072640,39.64434,0.096,0.03225,0.20898001,74.722,0.692
BLDR,Industrials,7644190208,15.907899,-0.088,0.02506,0.0070999996,130.786,
TPL,Energy,25692033024,5.09416,0.312,0.36566,0.60322,1.077,0.327
FICO,Technology,25192132608,21.99172,0.257,,0.3405,,0.412
DPZ,Consumer Cyclical,11432385536,16.559696,0.043,,0.118640006,,0.068
URI,Industrials,67900956672,19.076674,0.118,0.28895,0.15673,166.793,0.255
BKNG,Consumer Cyclical,166133170176,17.323225,0.081,,0.25527,,1.3
MNST,Consumer Defensive,95944556544,37.415485,0.202,0.25704,0.23079,0.992,0.18
WDAY,Technology,49498423296,15.856502,0.135,0.10858,0.08595,56.936,2.48
SOFI,Financial Services,24213712896,22.834957,0.426,0.07095,0.14906,30.835,0.404
NU,Financial Services,71872921600,13.00821,0.521,0.31628,0.42728,,0.663
NVDA,Technology,5092343808000,16.121845,0.852,1.14288,0.62966,6.555,2.145
AMD,Technology,753599447040,29.809565,0.501,0.10196,0.15577,6.361,1.595
TSM,Technology,2124120326144,18.802853,0.36,0.39969003,0.49923,16.504,0.774
AVGO,Technology,1722481901568,18.562735,0.479,0.37280998,0.38848,74.018,0.854
MU,Technology,1023998164992,5.848596,3.457,0.66638,0.55906,6.33,13.685
ASML,Technology,670123950080,28.890547,0.213,0.53942,0.30114,9.092,0.285
LRCX,Technology,383970967552,26.550903,0.3,0.65066004,0.31272,33.049,0.348
PANW,Technology,286285037568,85.32494,0.311,0.048309997,0.07947,7.698,
CRWD,Technology,194731900928,122.00786,0.256,-0.0024899999,-0.00598,17.568,
FTNT,Technology,112368246784,40.73615,0.256,1.17442,0.28173,36.194,0.439
ZS,Technology,28633905152,38.51014,0.254,-0.037100002,-0.024389999,78.939,
OKTA,Technology,22818709504,30.365005,0.112,0.036679998,0.082440004,5.957,0.212
SNOW,Technology,113099046912,120.56664,0.335,-0.54869,-0.23786,142.912,
PLTR,Technology,426110353408,76.62127,0.928,0.38097,0.49005002,2.139,2.154
LLY,Healthcare,1105501093888,26.25749,0.477,1.02286,0.33528998,162.071,0.262
VRTX,Healthcare,138955325440,25.00074,0.125,0.23542999,0.34997,9.767,0.08
REGN,Healthcare,84912644096,13.607088,0.167,0.14043,0.27865,8.535,-0.045
AAPL,Technology,4556959776768,32.735195,0.164,1.4875101,0.27618998,78.445,0.287
MSFT,Technology,3632391258112,20.751247,0.177,0.34039003,0.40305,29.118,0.317
GOOGL,Communication Services,4294908575744,23.71074,0.242,0.48676,0.54771,18.859,2.94
META,Communication Services,1417598074880,16.034292,0.28,0.29848,0.29834998,42.997,-0.134
AMZN,Consumer Cyclical,2831622864896,25.265362,0.196,0.30558002,0.1744,45.617,2.423
MARA,Financial Services,4448236544,-10.013044,-0.267,-1.0557,0.0,140.159,
RIOT,Financial Services,7715323904,-21.987188,0.139,-0.48243,-1.96277,40.034,
WMT,Consumer Defensive,833251442688,32.466698,0.059,0.22313999,0.03,70.378,-0.091
TGT,Consumer Defensive,77257908224,17.901646,0.053,0.26408002,0.04078,106.989,1.005
COST,Consumer Defensive,428529123328,42.64349,0.215,0.29152,0.0301,60.257,0.455
NFLX,Communication Services,333594001408,20.967518,0.134,0.49541,0.28219,55.236,0.111
TSLA,Consumer Cyclical,1410185953280,165.40965,0.255,0.046669997,0.03671,18.373,-0.03
PYPL,Financial Services,53426757632,10.698252,0.048,0.24497,0.14364,71.751,-0.031
SHOP,Technology,193498382336,61.31435,0.337,0.15543,0.1453,1.403,0.681
SE,Consumer Cyclical,71170703360,22.609863,0.481,0.14734,0.05908,31.621,0.077
